dataset_id	intensity_mod	dwell_mod	mod_reads_freq
dataset_0320	0.4	0.4	0.75
dataset_0321	0.4	0.6	0.75
dataset_0322	0.4	0.8	0.75
dataset_0323	0.4	1	0.75
dataset_0324	0.4	2	0.75
dataset_0325	0.4	3	0.75
dataset_0326	0.4	4	0.75
dataset_0327	0.4	5	0.75
dataset_0328	0.6	0	0.75
dataset_0329	0.6	0.2	0.75
dataset_0330	0.6	0.4	0.75
dataset_0331	0.6	0.6	0.75
dataset_0332	0.6	0.8	0.75
dataset_0333	0.6	1	0.75
dataset_0334	0.6	2	0.75
dataset_0335	0.6	3	0.75
dataset_0336	0.6	4	0.75
dataset_0337	0.6	5	0.75
dataset_0338	0.8	0	0.75
dataset_0339	0.8	0.2	0.75
dataset_0340	0.8	0.4	0.75
dataset_0341	0.8	0.6	0.75
dataset_0342	0.8	0.8	0.75
dataset_0343	0.8	1	0.75
dataset_0344	0.8	2	0.75
dataset_0345	0.8	3	0.75
dataset_0346	0.8	4	0.75
dataset_0347	0.8	5	0.75
dataset_0348	1	0	0.75
dataset_0349	1	0.2	0.75
dataset_0350	1	0.4	0.75
dataset_0351	1	0.6	0.75
dataset_0352	1	0.8	0.75
dataset_0353	1	1	0.75
dataset_0354	1	2	0.75
dataset_0355	1	3	0.75
dataset_0356	1	4	0.75
dataset_0357	1	5	0.75
dataset_0358	2	0	0.75
dataset_0359	2	0.2	0.75
dataset_0360	2	0.4	0.75
dataset_0361	2	0.6	0.75
dataset_0362	2	0.8	0.75
dataset_0363	2	1	0.75
dataset_0364	2	2	0.75
dataset_0365	2	3	0.75
dataset_0366	2	4	0.75
dataset_0367	2	5	0.75
dataset_0368	3	0	0.75
dataset_0369	3	0.2	0.75
dataset_0370	3	0.4	0.75
dataset_0371	3	0.6	0.75
dataset_0372	3	0.8	0.75
dataset_0373	3	1	0.75
dataset_0374	3	2	0.75
dataset_0375	3	3	0.75
dataset_0376	3	4	0.75
dataset_0377	3	5	0.75
dataset_0378	4	0	0.75
dataset_0379	4	0.2	0.75
dataset_0380	4	0.4	0.75
dataset_0381	4	0.6	0.75
dataset_0382	4	0.8	0.75
dataset_0383	4	1	0.75
dataset_0384	4	2	0.75
dataset_0385	4	3	0.75
dataset_0386	4	4	0.75
dataset_0387	4	5	0.75
dataset_0388	5	0	0.75
dataset_0389	5	0.2	0.75
dataset_0390	5	0.4	0.75
dataset_0391	5	0.6	0.75
dataset_0392	5	0.8	0.75
dataset_0393	5	1	0.75
dataset_0394	5	2	0.75
dataset_0395	5	3	0.75
dataset_0396	5	4	0.75
dataset_0397	5	5	0.75
dataset_0398	0	0.2	0.9
dataset_0399	0	0.4	0.9
dataset_0400	0	0.6	0.9
dataset_0401	0	0.8	0.9
dataset_0402	0	1	0.9
dataset_0403	0	2	0.9
dataset_0404	0	3	0.9
dataset_0405	0	4	0.9
dataset_0406	0	5	0.9
dataset_0407	0.2	0	0.9
dataset_0408	0.2	0.2	0.9
dataset_0409	0.2	0.4	0.9
dataset_0410	0.2	0.6	0.9
dataset_0411	0.2	0.8	0.9
dataset_0412	0.2	1	0.9
dataset_0413	0.2	2	0.9
dataset_0414	0.2	3	0.9
dataset_0415	0.2	4	0.9
dataset_0416	0.2	5	0.9
dataset_0417	0.4	0	0.9
dataset_0418	0.4	0.2	0.9
dataset_0419	0.4	0.4	0.9
dataset_0420	0.4	0.6	0.9
dataset_0421	0.4	0.8	0.9
dataset_0422	0.4	1	0.9
dataset_0423	0.4	2	0.9
dataset_0424	0.4	3	0.9
dataset_0425	0.4	4	0.9
dataset_0426	0.4	5	0.9
dataset_0427	0.6	0	0.9
dataset_0428	0.6	0.2	0.9
dataset_0429	0.6	0.4	0.9
dataset_0430	0.6	0.6	0.9
dataset_0431	0.6	0.8	0.9
dataset_0432	0.6	1	0.9
dataset_0433	0.6	2	0.9
dataset_0434	0.6	3	0.9
dataset_0435	0.6	4	0.9
dataset_0436	0.6	5	0.9
dataset_0437	0.8	0	0.9
dataset_0438	0.8	0.2	0.9
dataset_0439	0.8	0.4	0.9
dataset_0440	0.8	0.6	0.9
dataset_0441	0.8	0.8	0.9
dataset_0442	0.8	1	0.9
dataset_0443	0.8	2	0.9
dataset_0444	0.8	3	0.9
dataset_0445	0.8	4	0.9
dataset_0446	0.8	5	0.9
dataset_0447	1	0	0.9
dataset_0448	1	0.2	0.9
dataset_0449	1	0.4	0.9
dataset_0450	1	0.6	0.9
dataset_0451	1	0.8	0.9
dataset_0452	1	1	0.9
dataset_0453	1	2	0.9
dataset_0454	1	3	0.9
dataset_0455	1	4	0.9
dataset_0456	1	5	0.9
dataset_0457	2	0	0.9
dataset_0458	2	0.2	0.9
dataset_0459	2	0.4	0.9
dataset_0460	2	0.6	0.9
dataset_0461	2	0.8	0.9
dataset_0462	2	1	0.9
dataset_0463	2	2	0.9
dataset_0464	2	3	0.9
dataset_0465	2	4	0.9
dataset_0466	2	5	0.9
dataset_0467	3	0	0.9
dataset_0468	3	0.2	0.9
dataset_0469	3	0.4	0.9
dataset_0470	3	0.6	0.9
dataset_0471	3	0.8	0.9
dataset_0472	3	1	0.9
dataset_0473	3	2	0.9
dataset_0474	3	3	0.9
dataset_0475	3	4	0.9
dataset_0476	3	5	0.9
dataset_0477	4	0	0.9
dataset_0478	4	0.2	0.9
dataset_0479	4	0.4	0.9
dataset_0480	4	0.6	0.9
dataset_0481	4	0.8	0.9
dataset_0482	4	1	0.9
dataset_0483	4	2	0.9
dataset_0484	4	3	0.9
dataset_0485	4	4	0.9
dataset_0486	4	5	0.9
dataset_0487	5	0	0.9
dataset_0488	5	0.2	0.9
dataset_0489	5	0.4	0.9
dataset_0490	5	0.6	0.9
dataset_0491	5	0.8	0.9
dataset_0492	5	1	0.9
dataset_0493	5	2	0.9
dataset_0494	5	3	0.9
dataset_0495	5	4	0.9
dataset_0496	5	5	0.9
dataset_0497	0	0.2	1.0
dataset_0498	0	0.4	1.0
dataset_0499	0	0.6	1.0
dataset_0500	0	0.8	1.0
dataset_0501	0	1	1.0
dataset_0502	0	2	1.0
dataset_0503	0	3	1.0
dataset_0504	0	4	1.0
dataset_0505	0	5	1.0
dataset_0506	0.2	0	1.0
dataset_0507	0.2	0.2	1.0
dataset_0508	0.2	0.4	1.0
dataset_0509	0.2	0.6	1.0
dataset_0510	0.2	0.8	1.0
dataset_0511	0.2	1	1.0
dataset_0512	0.2	2	1.0
dataset_0513	0.2	3	1.0
dataset_0514	0.2	4	1.0
dataset_0515	0.2	5	1.0
dataset_0516	0.4	0	1.0
dataset_0517	0.4	0.2	1.0
dataset_0518	0.4	0.4	1.0
dataset_0519	0.4	0.6	1.0
dataset_0520	0.4	0.8	1.0
dataset_0521	0.4	1	1.0
dataset_0522	0.4	2	1.0
dataset_0523	0.4	3	1.0
dataset_0524	0.4	4	1.0
dataset_0525	0.4	5	1.0
dataset_0526	0.6	0	1.0
dataset_0527	0.6	0.2	1.0
dataset_0528	0.6	0.4	1.0
dataset_0529	0.6	0.6	1.0
dataset_0530	0.6	0.8	1.0
dataset_0531	0.6	1	1.0
dataset_0532	0.6	2	1.0
dataset_0533	0.6	3	1.0
dataset_0534	0.6	4	1.0
dataset_0535	0.6	5	1.0
dataset_0536	0.8	0	1.0
dataset_0537	0.8	0.2	1.0
dataset_0538	0.8	0.4	1.0
dataset_0539	0.8	0.6	1.0
dataset_0540	0.8	0.8	1.0
dataset_0541	0.8	1	1.0
dataset_0542	0.8	2	1.0
dataset_0543	0.8	3	1.0
dataset_0544	0.8	4	1.0
dataset_0545	0.8	5	1.0
dataset_0546	1	0	1.0
dataset_0547	1	0.2	1.0
dataset_0548	1	0.4	1.0
dataset_0549	1	0.6	1.0
dataset_0550	1	0.8	1.0
dataset_0551	1	1	1.0
dataset_0552	1	2	1.0
dataset_0553	1	3	1.0
dataset_0554	1	4	1.0
dataset_0555	1	5	1.0
dataset_0556	2	0	1.0
dataset_0557	2	0.2	1.0
dataset_0558	2	0.4	1.0
dataset_0559	2	0.6	1.0
dataset_0560	2	0.8	1.0
dataset_0561	2	1	1.0
dataset_0562	2	2	1.0
dataset_0563	2	3	1.0
dataset_0564	2	4	1.0
dataset_0565	2	5	1.0
dataset_0566	3	0	1.0
dataset_0567	3	0.2	1.0
dataset_0568	3	0.4	1.0
dataset_0569	3	0.6	1.0
